seed,k,agreement_threshold,strength,baseline_accuracy,tdnr_accuracy,baseline_f1_macro,tdnr_f1_macro,baseline_f1_weighted,tdnr_f1_weighted,baseline_precision_macro,tdnr_precision_macro,baseline_recall_macro,tdnr_recall_macro,baseline_auroc_macro,tdnr_auroc_macro,baseline_auprc_macro,tdnr_auprc_macro,gate_rate,change_rate,changed_subset_baseline_accuracy,changed_subset_tdnr_accuracy
1,3,0.8,0.5,0.7917870149441165,0.8677634057516012,0.39130932611461317,0.6858520251677456,0.7425278640741725,0.8294027223511048,0.3824224741588424,0.7260670973859724,0.43321111423766295,0.688004785059923,0.9526173703207691,,0.6107940873074361,,0.07635313324124074,0.07635313324124074,0.001644736842105263,0.9967105263157895
2,5,0.6,0.5,0.7917870149441165,0.9034283561471808,0.39130932611461317,0.723836884533022,0.7425278640741725,0.8836537669029542,0.3824224741588424,0.8401446148082564,0.43321111423766295,0.706881615190474,0.9526173703207691,,0.6107940873074361,,0.2602034409142283,0.2602034409142283,0.28378378378378377,0.7128378378378378
3,5,0.6,0.5,0.7917870149441165,0.9031771945246766,0.39130932611461317,0.7154957866003012,0.7425278640741725,0.8832514952712721,0.3824224741588424,0.8023163303279698,0.43321111423766295,0.7026000780142,0.9526173703207691,,0.6107940873074361,,0.2602034409142283,0.2602034409142283,0.2842664092664093,0.7123552123552124
