seed,k,agreement_threshold,strength,baseline_accuracy,tdnr_accuracy,baseline_f1_macro,tdnr_f1_macro,baseline_f1_weighted,tdnr_f1_weighted,baseline_precision_macro,tdnr_precision_macro,baseline_recall_macro,tdnr_recall_macro,baseline_auroc_macro,tdnr_auroc_macro,baseline_auprc_macro,tdnr_auprc_macro,gate_rate,change_rate
1,5,0.8,0.5,0.8800094573826693,0.9472750916183946,0.6338126839159305,0.7340749054329967,0.8679050887771486,0.9382462775833088,0.6471693578643274,0.8039256132572582,0.6257573869441192,0.7260687284074382,0.9813642900684828,,0.7610095587993678,,0.07636836505497104,0.07636836505497104
2,1,0.6,0.5,0.8800094573826693,0.9608700792055799,0.6338126839159305,0.8452423538547382,0.8679050887771486,0.953899950512091,0.6471693578643274,0.8726016528500468,0.6257573869441192,0.8542711338929045,0.9813642900684828,,0.7610095587993678,,0.0980021279111006,0.0980021279111006
3,1,0.6,0.5,0.8800094573826693,0.9615793829057808,0.6338126839159305,0.8146398218498013,0.8679050887771486,0.9553347441581242,0.6471693578643274,0.8385460994361108,0.6257573869441192,0.8208648093313258,0.9813642900684828,,0.7610095587993678,,0.09847499704456791,0.09847499704456791
