seed,control,accuracy,f1_macro
1,random_neighbors,0.8668873389289514,0.6236559457585593
1,shuffled_labels,0.8724435512471923,0.6282243845845795
2,random_neighbors,0.583638727982031,0.3424636095110438
2,shuffled_labels,0.5538479725735903,0.34220609017403625
3,random_neighbors,0.5884856366000709,0.33922255298091536
3,shuffled_labels,0.5654332663435394,0.3638364111269976
